id,input_text,labels
kzp_train_006896,марафонның өткізілуі туралы бүгін өңірлік коммуникациялар қызметінде өткен баспасөз конференциясында айтылды брифингке жастар ресурстық орталығы кмм директоры жасұлан алдабергенов жомарт мүгедектерге балалары мүгедек ата-аналарға және тұрмыс жағдайы төмен азаматтарға көмек көрсету қоғамдық бірлестігінің төрайымы майя наримова шуақты бөбек қоғамдық қор құрылтайшысы майра нуркишева қатысты,O O O O O O O O O O PERIOD O O O O O O O COMMA O COMMA O O O O O O O O O O O O O O COMMA O O O O O O O PERIOD
kzp_train_029397,батыс жарты шар жер жарты шарда гринвич меридианға батысында және меридианға шығысқа қарай орналасқан батыс жартыда меридиан бойлық меридиан белгіленген,O O O O O COMMA O O O O O O O PERIOD O O O O O PERIOD
kzp_train_044988,экстрамуральды сілекеи бездерінші ірі өзектері ауыз қуысына ұйқы безі мен бауыр өзектері он екі елі ішек күйіс қайтаратын жануарлардың ұлтабар ұшы қуысына ашылады асқорыту бездерінің сөліндегі ферменттер астың жынның құрамындағы күрделі органикалық заттарды протеиндер липидтер көмірсулар олардың қарапайым мономерлеріне ьдыратады,O O O O O O COMMA O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O COMMA COMMA COMMA O O O PERIOD
kzp_train_046491,жанартау атқылауынан шығатын жанартаулық өнімдер газ тәрізді жанартаулық газдар сұйық лава және қатты жанартаулық тау жыныстары болады,O O O O O O O O COMMA O O O O O O O PERIOD
kzp_train_049618,қызылордада ұлттық қазақ театры қашан ашылды,O O O O O QUESTION
kzp_train_017914,бірінші дүние жүзілік соғыс жылы басталды жоқ 1914ж,O O O O O PERIOD O O
kzp_train_001484,жылы baris бейбітшілік медалі германия әлемнің интеллектуалы және көрнекті өкілі тізіміне кірді шығармалары тілге аударылып кітаптары бірнеше басылыммен қайтара басылып миллионнан аса таралыммен тараған,O O O O O O O O O O O PERIOD O O COMMA O O O O O O O O PERIOD
kzp_train_020089,қазір ол алты айға емдеуге жіберілген осыған орай балабақшада санитарлық-алдын алу жұмыстары жүргізілуде,O O O O O PERIOD O O O O O O PERIOD
kzp_train_043156,шыққан 7-36-беттер әуезов бұрынғы ойларын дамыта отырып ертегілердің туу тарихына шолу жасаған зерттелуі жиналуы түрлері көркемдік қасиеттері жайында жан-жақты талдау жүргізген,O PERIOD O O O O COMMA O O O O COMMA COMMA COMMA COMMA O O O O O PERIOD
kzp_train_046555,ежелгі гондвана материгінің құрамында бірге болғанына қарамастан антарктиданың қазіргі табиғат жағдайлары оңтүстік жарты шардың басқа материгіне ұқсамайды ол айырмашылықтар материктің оңтүстік поляр аймағындағы орнымен түсіндіріледі,O O O O O O COMMA O O O O O O O O O PERIOD O O O O O O O PERIOD
kzp_train_005011,жазда түрлі-түсті түрлері танымалдыққа ие болса қазір қара-көк сұр жасыл сынды күңгірт түсті күртешелер тренд болады,O O O O O COMMA O COMMA COMMA O O O O O O PERIOD
kzp_train_039920,өкпеден келетін өкпе көктамырлар сол жақ жүрекшеге күретамыр қанын тасиды,O O O O O O O O O PERIOD
kzp_train_043900,күрделі масақ гүлшоғыры қай жерде орналасқан,O O O O O QUESTION
kzp_train_004384,астанада қазақэнергиясараптама ақ исо энергетикалық менеджментінің халықаралық стандартын енгізу бойынша өз мамандарын оқыту аяқталды семинардың ұйымдастырушылары жшқ дкс-ост dqs-ul mss сертификаттау органының ресми өкілі және қазақэнергиясараптама ақ энергия тиімділікті арртырудың кешенді жоспарының әзірлеушісі және қр ижтм негізгі үйлестірушісі болды,O O O O O O O O O O O O O PERIOD O O O COMMA O O O O O O O O COMMA O O O O O O O O O O O PERIOD
kzp_train_047845,қос суперфосфат аммофос т.б.сияқты концентрленген және күрделі тыңайтқыштар едәуір тиімді тараз суперфосфат зауытында республикамызда бірінші рет тыңайтқыштың күрделі түрі-құрамында азот(12-13 және фосфор(p2o5-47 %)бар тыңайтқыш алынды,O COMMA COMMA O O O O O O PERIOD O O O O O O O O O O O O O O PERIOD
kzp_train_006667,іс шараға комиссия мүшелері алматы қаласы құрылыс басқармасының нұр отан партиясы алматы қалалық филиалының мердігер компаниялардың және бақ-ң өкілдері қатысты,O O O COMMA O O O COMMA O O O O O COMMA O O O O O PERIOD
kzp_train_033820,==ақпаратты қорғау ==ақпаратты қорғау ақпараттық қауіпсіздікті қамтамасыз етуге бағытталған шаралар кешені тәжірибе жүзінде ақпаратты қорғау деп деректерді енгізу сақтау өңдеу және тасымалдау үшін қолданылатын ақпарат пен қорлардың тұтастығын қол жеткізулік оңтайлығын және керек болса жасырындылығын қолдауды түсінеді,O O O O O O O O O O PERIOD O O O O O O COMMA COMMA O O O O O O O O COMMA O O O O O COMMA O O PERIOD
kzp_train_053439,жүсіп баласағүниның “құтты білігінде” өмір мәні пайымдалып жалпыадамзаттық рухани байлықтар мұрат дін этика өнер және даналықтың мәні сараланған жүсіп баласағүни ақиқатқа жету жолын адам мен әлемнің ұлы ғалам мен микроғаламның үйлесімді болуы туралы қағидаға негіздейді,O O O O O O COMMA O O O COMMA COMMA COMMA O O O O PERIOD O O O O O O O COMMA O O O O O O O O PERIOD
kzp_train_020717,алайда қазақшаға немесе кириллицаға өзгертілген атауы түпнұсқасына қарағанда көп қолданылатын болса қазақ тілді қауым үшін солай қалдыру керек(мысалы алгол фортран,COMMA O O O O O O O O O O O O O O O O COMMA COMMA PERIOD
kzp_train_037176,"right|200px|thumb|бейбітшілік сарайы180px|left|thumb|халықаралық сотттың белгісібұұ-нын халықаралык соты біріккен ұлттар ұйымының басты сот органы; жылы құрылған;гаагаға орналасқан негізгі міндеті,халықаралық кұқық негізінде мемлекеттерге байланысты халықаралықдау-жанжалдарды шешу болып табылады",O O O O O O O O O O O O O O PERIOD O O O COMMA O O O O O PERIOD
kzp_train_051385,"ж тарының әр гектарынан 25,5 ц өнім алса ж",PERIOD O O O O O O COMMA PERIOD
kzp_train_032065,линдон бэйнс джонсон lyndon baines johnson; тамыз стоунволл техас қаңтар сол жерде ақш-тың демократиялық партиясы тұсында жыл қараша мен жылдың қаңтары аралығындағы президенті,O O O O O O O COMMA O O O O O O O O O O O O O O PERIOD
kzp_train_045498,артқы миға мишық пен ми көпірі жатады ми көпірі ортаңғы ми мен сопақша мидың аралығына орналасқан,O O O O O O PERIOD O O O O O O O O PERIOD
kzp_train_044072,топыраққа таралған тамыры өсімдіктің жер бетіндегі сабағын жоғары көтереді сабағы және оның тармақтары өте ұсақ үшкір жапырақтармен тығыз қапталған,O O O O O O O O PERIOD O O O O O COMMA O O O PERIOD
kzp_train_034455,мм орталық бөлігінде жауын-шашын біршама аз 500-ден мм-ге дейін және оның 90%-і жаңбырлы маусымға келеді,PERIOD O O O O O O O O O O O O O PERIOD
kzp_train_043821,===ашық далалы алқаптардағы құстар===қанаттары кең қалықтап үшуға бейім болады кейбіртүрлерінің аяқтары жақсы жетілген,O O O O COMMA O O O PERIOD O O O PERIOD
kzp_train_011667,"дiн және алғашқы ғылымдарда математика,физика астрономия,медицина жатыр.оың ерекшiлiктерi 1.оның негiзгi зерттеу объектi-адам,оның әлемде алатын орыны және оған деген қатынасы",O O O O COMMA O O PERIOD O O O O O O O O O O PERIOD
kzp_train_011153,өз кезегінде облыс әкімі архимед мұхамбетов бәйтерек ұлттық холдингі тарапынан үлкен инвестиция күтілетінін айтты тұрғын үйлердің басым бөлігі қтқжб салымшылары мен кезектегілерге беріледі деп жоспарлануда,O O O O O O O O O O O O O PERIOD O O O O O O O O O O PERIOD
kzp_train_023020,осыған орай үлкен жұмыстар атқарылып жатыр сырттағы ағайындар да құр қарап жатқан жоқ,O O O O O PERIOD O O O O O O PERIOD
kzp_train_030230,дененің жүйелік қан қысымының рецепторлары қайда орналасқан,O O O O O O QUESTION
kzp_train_014614,қолданыстағы заңнаманың және қазақстандық құқыққа тән институттардың сыбайлас жемқорлыққа қарсы іс-қимыл үшін пайдаланылмаған әлеуеті бар оны толыққанды іске асыру мүмкіндігі осы саладағы шетелдік модельдер мен тәжірибені енгізу мәселелерін қараған кезде барынша ескерілуге тиіс,O O O O O O O O O O O O O O COMMA O O O O O O O O O O O O O O O O O PERIOD
kzp_train_001414,салық кодексінің 403-бабының 2-тармағының тармақшасына өзгерістер енгізілді оған сәйкес iii топтағы мүгедектер меншік құқығындағы барлық салық салу объектілерінің жалпы құнынан еселенген мөлшерш егіндегі теңге жеке тұлғалардан мүлікке салынатын салықты төлеуден босатылатын болады,O O O O O O COMMA O O O O O O O O O O O O O O O O O O O O O O O O PERIOD
kzp_train_001583,өз тіліңді құрметте деп қ мырзалиев атамыз айтқандай мемлекеттік тіл қазақ тілін бүкіл республика халқы өзге ұлт өкілдері құрметтеуі тиіс,O O O O PERIOD O O O O O O O O O COMMA O O O O PERIOD
kzp_train_043470,инквизиция латынның тергеу деген сөзінен шыққан рим папасының xiii ғасырда күпірлермен күрес үшін құрған арнаулы соты ол католик шіркеуінің өзіне қарсы пікір білдіруші адамдарды әсіресе озық ойлы оқымыстыларды жазалау мекемесі болды,O O O O O O O O O O O O O O O PERIOD O O O O O O O COMMA O O O O O O PERIOD
kzp_train_010803,бүгінгі таңда заманауи талаптарға сай бауырсақтың да бірнеше түрі шығып кетті атап айтар болсақ: ақ бауырсақ май бауырсақ ши бауырсақ шәй бауырсақ қытырлақ бауырсақ хворост жол бауырсақ және тағы басқалар,O O O O COMMA O O O O O PERIOD O O O O COMMA O COMMA O COMMA O COMMA O COMMA O O O O O PERIOD
kzp_train_056198,жылы құрылған қандай мемлекет,O O O QUESTION
kzp_train_039547,мүсін әуелде боялмаған еді кейін мыстың қышқылдануы нәтижесінде ол жасыл түске енді мүсін тұғырының ішінде ақш-қа иммигранттардың келу тарихы және осы ескерткіштің құрылысы туралы мәліметтер беретін мұражай бар,O O O COMMA O O O O O O O PERIOD O O O O O O O O O O O O O O O PERIOD
kzp_train_053481,ол ертедегі қазақ поэзиясының өлең өрнегін байытқан ақын шығармалары алғаш ғасырдан қағаз бетіне түсе бастады,O O O O O O O PERIOD O O O O O O PERIOD
kzp_train_005537,бұдан басқа қазақстан тарапынан аграрлы сарапшылық компания жшс-ның өкілі ерлан қарабаев және майлы өсімдіктерінің сынақ шаруашылығы жшс-ның директоры фарид абитаев ресейлік кәсіпкерлерін өз жобаларымен таныстырып өтті,O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD
kzp_train_035635,негізінен бір бүтін кітап көлемінің үлкендігінен баспа кезінде оны үш кітап етіп жарыққа шығарады: сақина бауырластығы қос қамал және патшаның оралуы xx ғасырдың ең үздік әрі танымал кітаптарының бірі,O O O COMMA O O O O O O O O O O O COMMA O O O O PERIOD O O O O O O O PERIOD
kzp_train_029800,аш ішекте ас қорыту өнімдерінің көп бөлігін қандай құрылымдар сіңіреді,O O O O O O O O O QUESTION
kzp_train_031474,американдық жасөспірімнің құпия өмірінде риккиді кім ойнайды,O O O O O O QUESTION
kzp_train_054919,ендеше осы мақаламызда ахмед йүгінеки кей әдебиеттерде жүйнеки деп аталады жазған ақиқат сыйы еңбегінің ғылыми мұрасы адамзаттың саяси ойларының дамуына өз әсерін тигізетіндігі және шығармадағы әлеуметтік-саяси көзқарастар туралы жазылады аталмыш шығарма өлең түрінде жазылған дастан және оның негізгі мазмұны тәлім-тәрбие беретін дидактикалық ойларға құрылған философиялық толғау болып табылады және имандылық пен адамгершілік туралы ойларға тола танымдық және насихаттық сипаттарға ие,COMMA O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PERIOD
kzp_train_051476,жылы маусымда халық өнер қайраткерлерінің i слеті болды домбыра ансамблін есепке ала отырып қазақ оак-нің төралқасы ағарту халкомы жанынан халық өнері қайраткерлерінің i слетіне қатысушылардан халық аспаптарының ұлттық оркестрін құру..,O O O O O O O PERIOD O O O O COMMA O O O O O O O O O O O O O O O O PERIOD
kzp_train_054850,ол “ананың анасы” “өлімді жеңген ана” “ашынған ана” “ананың арашасы” “ер ана” “ақлима” “әмина” “ана жыры” “ана” шығармалары арқылы сөз өнеріне жаңа көркемдік өрнек әкелді ана жайында жазылған алғашқы әңгімелері м.горький сарынында алынғанымен ана бейнесі қазақы қасиеттерімен көркем өрнектелген,O O O O O O O COMMA O O O O O COMMA O COMMA O O O O O O O O PERIOD O O O O O O O COMMA O O O O O PERIOD
kzp_train_004464,қр еңбек және халықты әлеуметтік қорғау вице-министрі нұржан әлтаевтың айтуынша жол картасын іске асыру үш бағыт бойынша жүргізіледі алдымен халықтың жұмыс статусын нақтылау шаралары қолға алынды,O O O O O O O O O COMMA O O O O O O O PERIOD COMMA O O O O O O PERIOD
kzp_train_036517,лазарустың дастанынан үзінді берілген тәждегі шабақтар теңіз бен құрлыққа жарқырап төгілген сәулені білдіреді,O O O PERIOD O O O O O O O O PERIOD
kzp_train_044202,буын шығуы буын сүйектерінің өз орнынан қозғалуы буын толық және жартылай шығуы мүмкін,O O O O O O PERIOD O O O O O PERIOD
kzp_train_003181,ойыншықтар жайлы түсінік беру ойыншық бізге неге керек,O O O PERIOD O O O QUESTION
kzp_train_003524,кран басқаратынмын мамандығым сол осындағы көптеген құрылыстарда еңбек еттім,O COMMA O PERIOD O O O O PERIOD
kzp_train_047070,физикалық-географиялық жағдайы тұрғысынан қазақстан тынық мұхит пен атлант мұхитынан сондай-ақ үнді мұхиты мен солтүстік мұзды мұхитынан бірдей дерлік қашықтықта орналасқан оның мұхиттардан шалғай жатуы әрі аумағының үлкендігі климатының өзіндік ерекшелігін қалыптастырады,O O COMMA O O O O O COMMA O O O O O O O O O O PERIOD O O O O O O O O O O PERIOD
kzp_train_037330,гарри поттердегі гермиона грейнджердің рөлін кім ойнайды,O O O O O O QUESTION
kzp_train_051379,жылы түменге жақын жерде тоқтамыс едіге мен шәдібек әскерлерімен шайқасып қаза тапты,O O O O O O O O O COMMA O PERIOD
kzp_train_033315,алғашқы toyota land cruiser қашан шығарылды,O O O O O QUESTION
kzp_train_035641,"гипстің жеке кристалдары қалақша баған призма пішінді ал минерал агрегаттары ұсақ түйіршік алебастр немесе талшық селенит масса түрінде кездеседі гипс ақ мөлдір кейде қоспаларына байланысты түрлі түсті шыныша жылтыр; қаттылығы 1,5 меншікті салмағы 2,3 г/см&lt;sup&gt;3&lt;/sup&gt; балқу температурасы 41°с",O O O COMMA COMMA O COMMA O O O O O O O O O O O PERIOD O COMMA O O O O O COMMA O O O COMMA O O O COMMA O O PERIOD
kzp_train_040173,"темекінің түтінінде көміртегі тотығы никотин 3,4 бенз(а пирен азот тотықтары никель хром кадмий т.с.с көптеген зиянды заттар болады",O O O COMMA COMMA O O COMMA O COMMA COMMA COMMA O O O O O PERIOD
kzp_train_042779,абай әжесін өлеңмен үшкірген ақылды зейінді мейірімді зере немерелерінің ішінде ибраhимді ерекше жақсы көріп оны абай деп еркелеткен,O O O PERIOD COMMA COMMA O O O O O O O COMMA O O O PERIOD
kzp_train_013927,мысалы экспо-2017 көрмесін тамашалап қайтқан жергілікті кәсіпкер шаруа қожалығына күн батареясы мен жел генераторын орнатты жалпы өңірде жасыл экономика технологиясы бойынша құны млрд теңге болатын жобаны іске асыру жоспарланған,COMMA O O O O O O O O O O O O O PERIOD COMMA O O O O COMMA O O O O O O O PERIOD
kzp_train_047678,шпицберген франц иосиф жері және солтүстік жер аралдары 80º с е-тен әрі асады,COMMA O O O O O O O O PERIOD O O PERIOD
kzp_train_003698,денені қыздырғанда температураның артуына байланысты молекулалар күштірек тербеле бастайды өйткені олардың потенциалдық және кинетикалық энергиясы артады артық энергияның бұл бөліктері бртіндеп бір бөлшектен екіншісіне яғни дененің бір бөлігінен икөрші бөліктеріне беріледі,O O O O O O O O COMMA O O O O O O PERIOD O O O O O O O COMMA O O O O O O PERIOD
kzp_train_021095,алдағы уақыттарда қызметтерді лицензиялау ісі мықтап қолға алынбақшы өйткені заң аясында сәулет-құрылыс жобаларына лицензия беру мәселесі талай заң бұзушылықтардың басы болып отырғаны жасырын емес дейді мамандар,O O O O O O O PERIOD O O O O O O O O O O O O O O O O O PERIOD
kzp_train_034344,ғ-ында қалыптасқан “м-ның” бастапқы мәтіні мың жолға жуық бірнеше рет толықтырылып өңделген,O PERIOD O O O O O O O O COMMA PERIOD
kzp_train_042232,орда іргеленді сыр бойындағы кенттер мен қалалар үшін күрес басталды,O PERIOD O O O O O O O PERIOD
kzp_train_020626,қырық жыл баласы үшін бейнет көрді қырық жыл соның зейнетін көрді енемі сабырлы қонақжай,O O O O O COMMA O O O O PERIOD O COMMA O
